# Population Mona	2001_Mona_LTC1,2001_Mona_LTC12,2001_Mona_LTC2,2001_Mona_LTC5
# Population Big_Springs	2022_Big_Springs_LTC_1,2022_Big_Springs_LTC_10,2022_Big_Springs_LTC_11,2022_Big_Springs_LTC_12,2022_Big_Springs_LTC_13,2022_Big_Springs_LTC_14,2022_Big_Springs_LTC_15,2022_Big_Springs_LTC_2,2022_Big_Springs_LTC_3,2022_Big_Springs_LTC_4,2022_Big_Springs_LTC_5,2022_Big_Springs_LTC_6,2022_Big_Springs_LTC_7,2022_Big_Springs_LTC_8,2022_Big_Springs_LTC_9
# Population Jail_Pond	2022_Jail_Pond_LTC1,2022_Jail_Pond_LTC10,2022_Jail_Pond_LTC11,2022_Jail_Pond_LTC12,2022_Jail_Pond_LTC13,2022_Jail_Pond_LTC14,2022_Jail_Pond_LTC2,2022_Jail_Pond_LTC3,2022_Jail_Pond_LTC4,2022_Jail_Pond_LTC5,2022_Jail_Pond_LTC6,2022_Jail_Pond_LTC7,2022_Jail_Pond_LTC8,2022_Jail_Pond_LTC9
# Population Tooele_Army	2022_Tooele_Army_LTC1,2022_Tooele_Army_LTC2,2022_Tooele_Army_LTC3,2022_Tooele_Army_LTC4,2022_Tooele_Army_LTC5,2022_Tooele_Army_LTC6,2022_Tooele_Army_LTC7,2022_Tooele_Army_LTC_10,2022_Tooele_Army_LTC_8,2022_Tooele_Army_LTC_9
# Group defaultgrp	Mona,Big_Springs,Jail_Pond,Tooele_Army
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Fst'	Smoothed Fst'	D_est	Smoothed D_est
747	un	244243	-0.02297	-1.00000	-0.00433	-1.00000	-0.01147	-1.00000
749	un	244979	0.09113	-1.00000	0.03874	-1.00000	0.54232	-1.00000
753	un	245854	0.04127	-1.00000	0.00721	-1.00000	0.51526	-1.00000
756	un	247449	-0.03102	-1.00000	-0.02792	-1.00000	-0.04937	-1.00000
766	un	250669	-0.01315	-1.00000	-0.00403	-1.00000	0.52439	-1.00000
768	un	251467	-0.03433	-1.00000	-0.02623	-1.00000	0.53627	-1.00000
770	un	252315	0.07015	-1.00000	0.06718	-1.00000	0.57102	-1.00000
773	un	254261	-0.01414	-1.00000	-0.00155	-1.00000	0.51384	-1.00000
777	un	255139	0.02637	-1.00000	0.00142	-1.00000	-nan	-1.00000
780	un	255984	-0.01471	-1.00000	-0.00367	-1.00000	-nan	-1.00000
785	un	258359	0.00538	-1.00000	0.00098	-1.00000	-0.00289	-1.00000
788	un	259152	-0.03423	-1.00000	-0.02400	-1.00000	-0.03665	-1.00000
793	un	261594	0.04176	-1.00000	0.01227	-1.00000	0.51423	-1.00000
802	un	265590	-0.01821	-1.00000	-0.00588	-1.00000	0.01056	-1.00000
812	un	267933	-0.04377	-1.00000	-0.03792	-1.00000	-nan	-1.00000
816	un	269651	-0.04639	-1.00000	-0.00981	-1.00000	0.54031	-1.00000
824	un	271204	-0.03684	-1.00000	-0.00936	-1.00000	-0.00936	-1.00000
833	un	273554	0.00365	-1.00000	0.00040	-1.00000	0.00093	-1.00000
834	un	274273	-0.04028	-1.00000	-0.01873	-1.00000	0.59255	-1.00000
